,Customer_ID,Name,Age,Gender,Email,Phone,Salary,Purchase_History,Signup_Date,Membership_Level,Feedback
2320,8167,Eve,18.0,Female,user2124@gmail.com,+234801164151,100000.0,4,2021-05-09,Bronze,Poor
2322,1687,Bob,35.0,Female,user754@gmail.com,+234801580753,100000.0,6,2021-05-11,Bronze,Average
2325,3307,Frank,40.0,Male,user1735@gmail.com,+234805527338,150000.0,11,2021-05-14,Platinum,Good
2331,6248,Eve,60.0,Female,user2786@gmail.com,+234805851207,150000.0,19,2021-05-20,Platinum,Poor
2338,2283,Charlie,60.0,Male,user4393@gmail.com,Invalid,150000.0,16,2021-05-27,Silver,Bad
2343,4711,Alice,30.0,Male,user221@gmail.com,Invalid,404993.47896967723,15,2021-06-01,Platinum,Excellent
2353,6569,David,60.0,Male,user1572@gmail.com,+234803688166,50000.0,17,2021-06-11,Silver,Bad
2355,3504,Eve,50.0,Female,user2402@gmail.com,+234803117496,150000.0,2,2021-06-13,Bronze,Poor
2357,5079,Alice,30.0,Female,user4406@gmail.com,+234809309965,1000000.0,13,2021-06-15,Silver,Average
2362,2715,David,30.0,Female,user1921@gmail.com,+234807430941,1000000.0,11,2021-06-20,Silver,Average
2364,6433,Frank,30.0,Male,user3483@gmail.com,+234809241635,70000.0,0,2021-06-22,Gold,Excellent
2370,7763,Charlie,40.0,Male,user1339@gmail.com,+234809316037,100000.0,1,2021-06-28,Silver,Bad
2371,2674,Eve,35.0,Female,user464@gmail.com,+234801219643,100000.0,16,2021-06-29,Bronze,Bad
2372,8950,Grace,30.0,Male,user3200@gmail.com,+234802675313,50000.0,16,2021-06-30,Platinum,Good
2373,9915,David,35.0,Female,user376@gmail.com,+234803194523,100000.0,6,2021-07-01,VIP,Good
2384,9831,Frank,30.0,Female,user586@gmail.com,+234803327413,100000.0,14,2021-07-12,Bronze,Good
2386,1441,Grace,40.0,Female,user1133@gmail.com,+234809170768,70000.0,15,2021-07-14,VIP,Good
2392,1948,Frank,25.0,Female,user2311@gmail.com,+234802339396,404993.47896967723,2,2021-07-20,Bronze,Poor
2393,9179,Frank,18.0,Female,user692@gmail.com,+234809717324,150000.0,6,2021-07-21,VIP,Average
2395,1459,Bob,30.0,Female,user4456@gmail.com,+234801237747,100000.0,16,2021-07-23,Bronze,Poor
2398,1392,Alice,60.0,Female,user762@gmail.com,Invalid,70000.0,10,2021-07-26,VIP,Poor
2402,5741,Grace,30.0,Female,user590@gmail.com,+234805308732,404993.47896967723,16,2021-07-30,Gold,Poor
2406,4674,David,30.0,Female,user337@gmail.com,+234801355426,70000.0,18,2021-08-03,Bronze,Excellent
2414,7142,Eve,50.0,Female,user1050@gmail.com,+234802338336,150000.0,18,2021-08-11,Gold,Average
2416,9787,Hannah,35.0,Female,user1886@gmail.com,+234807728376,30000.0,10,2021-08-13,VIP,Good
2418,1423,Hannah,22.0,Female,user1618@gmail.com,+234802977834,150000.0,17,2021-08-15,Bronze,Bad
2420,5249,Hannah,18.0,Female,user373@gmail.com,+234807392857,30000.0,19,2021-08-17,VIP,Poor
2425,5178,Grace,30.0,Female,user4397@gmail.com,+234805382983,1000000.0,9,2021-08-22,Gold,Good
2435,5493,Bob,40.0,Male,user3203@gmail.com,Invalid,50000.0,13,2021-09-01,Gold,Good
2439,1285,Bob,40.0,Female,user3939@gmail.com,+234809629948,50000.0,19,2021-09-05,Silver,Poor
2446,1987,Bob,40.0,Male,user280@gmail.com,+234809150257,50000.0,2,2021-09-12,Platinum,Excellent
2447,8804,Frank,50.0,Male,user2730@gmail.com,+234805194883,150000.0,18,2021-09-13,Bronze,Good
2449,6717,Bob,25.0,Male,user4671@gmail.com,+234803835408,1000000.0,4,2021-09-15,Bronze,Excellent
2450,4198,Eve,40.0,Female,user2383@gmail.com,+234803552479,50000.0,16,2021-09-16,Platinum,Poor
2451,6374,Hannah,25.0,Female,user355@gmail.com,+234802009057,70000.0,15,2021-09-17,VIP,Average
2457,1778,Grace,30.0,Male,user333@gmail.com,+234806240385,150000.0,8,2021-09-23,VIP,Excellent
2458,2492,Alice,50.0,Female,user4049@gmail.com,+234801163376,30000.0,3,2021-09-24,Bronze,Bad
2460,2348,Frank,30.0,Female,user3595@gmail.com,+234805168272,150000.0,0,2021-09-26,Silver,Excellent
2467,1727,Frank,30.0,Male,user1428@gmail.com,+234804287108,30000.0,6,2021-10-03,VIP,Bad
2472,7317,Alice,18.0,Male,user3880@gmail.com,+234806655446,404993.47896967723,10,2021-10-08,Bronze,Good
2474,7748,David,30.0,Female,user975@gmail.com,+234802116545,100000.0,0,2021-10-10,Silver,Average
2486,3394,Hannah,50.0,Male,user3643@gmail.com,+234802682388,1000000.0,9,2021-10-22,Gold,Average
2490,4736,David,60.0,Female,user1782@gmail.com,+234807292454,404993.47896967723,11,2021-10-26,Silver,Poor
2493,9921,Hannah,60.0,Female,user3820@gmail.com,+234805964939,50000.0,16,2021-10-29,Bronze,Bad
2501,2455,Bob,30.0,Male,user3957@gmail.com,+234802774203,30000.0,18,2021-11-06,Gold,Bad
2517,6482,Frank,50.0,Female,user3370@gmail.com,+234809675027,50000.0,12,2021-11-22,Platinum,Bad
2518,7376,Bob,60.0,Female,user1475@gmail.com,+234807223373,1000000.0,3,2021-11-23,Silver,Excellent
2521,5912,Frank,22.0,Female,user4714@gmail.com,+234807569045,1000000.0,6,2021-11-26,Silver,Average
2522,5648,David,25.0,Male,user27@gmail.com,+234809918019,50000.0,3,2021-11-27,Platinum,Bad
2524,3866,Hannah,40.0,Male,user2874@gmail.com,+234803910245,50000.0,14,2021-11-29,Silver,Bad
2526,4112,Eve,25.0,Female,user254@gmail.com,+234803686725,1000000.0,5,2021-12-01,Bronze,Average
2529,6823,Alice,30.0,Female,user1226@gmail.com,+234807449620,50000.0,7,2021-12-04,Platinum,Good
2531,6002,Alice,25.0,Male,user1685@gmail.com,+234807493215,404993.47896967723,0,2021-12-06,Bronze,Bad
2532,2356,Grace,30.0,Male,user2816@gmail.com,+234804505708,70000.0,7,2021-12-07,Platinum,Excellent
2533,4629,Grace,30.0,Male,user601@gmail.com,Invalid,30000.0,0,2021-12-08,VIP,Good
2536,7132,Charlie,30.0,Male,user4277@gmail.com,+234805380430,404993.47896967723,5,2021-12-11,Bronze,Excellent
2551,2875,Hannah,60.0,Female,user3784@gmail.com,+234803757597,150000.0,6,2021-12-26,Bronze,Average
2565,6889,Hannah,30.0,Female,user3086@gmail.com,+234802281498,30000.0,7,2022-01-09,Gold,Excellent
2569,1201,Alice,35.0,Female,user1066@gmail.com,+234803442200,70000.0,5,2022-01-13,Platinum,Good
2570,3497,Eve,60.0,Female,user3426@gmail.com,+234806983097,150000.0,8,2022-01-14,Platinum,Poor
2575,1770,David,30.0,Female,user3462@gmail.com,+234801052825,50000.0,2,2022-01-19,Bronze,Excellent
2577,2628,Bob,22.0,Female,user3200@gmail.com,+234801021074,404993.47896967723,1,2022-01-21,Platinum,Bad
2578,1386,Charlie,35.0,Female,user3296@gmail.com,+234807394134,404993.47896967723,18,2022-01-22,VIP,Average
2579,7031,Alice,18.0,Female,user4653@gmail.com,+234804725713,1000000.0,10,2022-01-23,Platinum,Average
2587,2998,Alice,60.0,Female,user1717@gmail.com,+234802868212,70000.0,11,2022-01-31,Gold,Excellent
2588,6476,Frank,50.0,Female,user4942@gmail.com,+234809219015,50000.0,9,2022-02-01,Platinum,Good
2589,5669,David,30.0,Female,user2103@gmail.com,+234804821601,1000000.0,16,2022-02-02,Platinum,Average
2590,5318,Alice,25.0,Female,user1694@gmail.com,+234808238158,1000000.0,11,2022-02-03,Silver,Average
2592,8446,Charlie,40.0,Male,user1898@gmail.com,+234805748545,30000.0,19,2022-02-05,Silver,Excellent
2599,3658,Grace,60.0,Male,user2040@gmail.com,+234807898624,50000.0,1,2022-02-12,VIP,Good
2600,4500,David,50.0,Male,user2156@gmail.com,+234803749257,1000000.0,5,2022-02-13,Gold,Excellent
2603,5020,Bob,50.0,Male,user2507@gmail.com,+234806413215,1000000.0,10,2022-02-16,Gold,Bad
2605,2823,Grace,35.0,Male,user2073@gmail.com,+234804343744,50000.0,13,2022-02-18,Silver,Bad
2609,7990,David,40.0,Female,user1964@gmail.com,+234806733633,50000.0,3,2022-02-22,VIP,Bad
2611,4134,Eve,60.0,Male,user413@gmail.com,+234802868310,100000.0,7,2022-02-24,Platinum,Poor
2612,3070,Alice,30.0,Male,user3420@gmail.com,+234806754152,100000.0,10,2022-02-25,VIP,Average
2620,1006,David,30.0,Female,user1191@gmail.com,+234806084316,70000.0,15,2022-03-05,Bronze,Average
2622,7564,Grace,30.0,Female,user3406@gmail.com,+234803817498,50000.0,1,2022-03-07,Platinum,Average
2626,4273,Frank,50.0,Female,user455@gmail.com,+234801506863,100000.0,15,2022-03-11,VIP,Average
2628,1913,Grace,30.0,Female,user4847@gmail.com,+234809317848,30000.0,2,2022-03-13,VIP,Excellent
2629,3011,Frank,60.0,Female,user4447@gmail.com,+234803239887,150000.0,14,2022-03-14,Silver,Good
2630,2442,Charlie,30.0,Female,user3704@gmail.com,+234802179521,1000000.0,12,2022-03-15,Platinum,Excellent
2631,6546,David,30.0,Female,user2104@gmail.com,+234808685805,100000.0,15,2022-03-16,Platinum,Good
2633,9767,Frank,25.0,Male,user2248@gmail.com,+234807514880,70000.0,14,2022-03-18,Silver,Excellent
2637,2054,Frank,30.0,Female,user3823@gmail.com,+234805352665,50000.0,12,2022-03-22,Bronze,Average
2639,2900,David,30.0,Female,user1235@gmail.com,+234809176271,1000000.0,8,2022-03-24,VIP,Excellent
2641,8069,Charlie,18.0,Female,user2337@gmail.com,+234802755392,1000000.0,15,2022-03-26,Silver,Bad
2644,7218,David,25.0,Male,user467@gmail.com,+234801686838,1000000.0,5,2022-03-29,Bronze,Poor
2652,7268,Frank,30.0,Male,user2354@gmail.com,+234802033808,1000000.0,2,2022-04-06,Bronze,Poor
2653,1910,Charlie,30.0,Female,user793@gmail.com,+234807577456,100000.0,14,2022-04-07,Silver,Bad
2654,5340,Eve,30.0,Male,user8@gmail.com,+234807534115,100000.0,2,2022-04-08,VIP,Average
2656,7628,Frank,35.0,Female,user4987@gmail.com,+234802094773,30000.0,17,2022-04-10,Platinum,Bad
2658,3172,Hannah,50.0,Male,user1286@gmail.com,+234808071477,50000.0,16,2022-04-12,Bronze,Poor
2659,6668,Hannah,60.0,Female,user3291@gmail.com,Invalid,1000000.0,11,2022-04-13,Silver,Average
2661,9315,Grace,25.0,Female,user543@gmail.com,+234806178057,30000.0,16,2022-04-15,Gold,Average
2669,5154,Frank,35.0,Female,user1661@gmail.com,+234808484487,150000.0,16,2022-04-23,Gold,Average
2671,2936,Hannah,30.0,Female,user3276@gmail.com,+234807491762,404993.47896967723,9,2022-04-25,VIP,Bad
2673,8151,Bob,50.0,Female,user3977@gmail.com,+234807769709,100000.0,16,2022-04-27,VIP,Average
2677,9556,Charlie,60.0,Male,user2723@gmail.com,Invalid,404993.47896967723,4,2022-05-01,Bronze,Good
2688,1358,David,40.0,Male,user3189@gmail.com,+234801251909,70000.0,5,2022-05-12,Platinum,Good
2691,2627,Eve,30.0,Male,user358@gmail.com,+234808701551,50000.0,5,2022-05-15,Platinum,Bad
2693,6004,Alice,60.0,Female,user4536@gmail.com,Invalid,70000.0,4,2022-05-17,Bronze,Excellent
2699,3151,Eve,18.0,Male,user471@gmail.com,+234808782768,150000.0,0,2022-05-23,Platinum,Average
2700,7905,Frank,30.0,Male,user1224@gmail.com,+234809076813,30000.0,7,2022-05-24,VIP,Poor
2703,2307,Alice,30.0,Male,user4531@gmail.com,+234808305986,150000.0,12,2022-05-27,Silver,Bad
2705,3660,Alice,35.0,Female,user3112@gmail.com,+234809520851,404993.47896967723,0,2022-05-29,VIP,Poor
2713,4211,Grace,30.0,Male,user3432@gmail.com,+234803654815,404993.47896967723,3,2022-06-06,VIP,Excellent
2724,8166,Charlie,50.0,Male,user133@gmail.com,+234803550736,50000.0,7,2022-06-17,Silver,Bad
2739,2970,Alice,50.0,Male,user3399@gmail.com,+234809973305,30000.0,0,2022-07-02,Bronze,Bad
2740,6806,Frank,30.0,Female,user4735@gmail.com,+234802458173,1000000.0,9,2022-07-03,Silver,Average
2750,3384,Grace,18.0,Male,user3574@gmail.com,+234805087029,50000.0,8,2022-07-13,Platinum,Poor
2756,8661,Alice,22.0,Male,user2769@gmail.com,+234808884036,70000.0,5,2022-07-19,Silver,Poor
2767,3953,Bob,18.0,Female,user1419@gmail.com,Invalid,70000.0,15,2022-07-30,VIP,Good
2769,1276,David,30.0,Male,user3406@gmail.com,+234808450320,150000.0,19,2022-08-01,Bronze,Good
2770,2999,Alice,35.0,Male,user68@gmail.com,+234803024525,100000.0,19,2022-08-02,Platinum,Average
2771,2227,David,50.0,Male,user2854@gmail.com,+234808322608,70000.0,6,2022-08-03,Gold,Average
2775,5152,Frank,30.0,Male,user88@gmail.com,+234807775280,404993.47896967723,16,2022-08-07,Bronze,Good
2776,8901,Charlie,25.0,Female,user2745@gmail.com,+234803149247,100000.0,11,2022-08-08,Gold,Bad
2782,2088,Frank,22.0,Female,user3187@gmail.com,+234806684700,30000.0,10,2022-08-14,Gold,Average
2792,9448,Alice,40.0,Male,user1893@gmail.com,+234807145693,1000000.0,17,2022-08-24,Gold,Good
2798,9605,Eve,40.0,Female,user2783@gmail.com,Invalid,50000.0,0,2022-08-30,Silver,Excellent
2809,6242,Bob,25.0,Male,user288@gmail.com,+234801396120,1000000.0,3,2022-09-10,Platinum,Excellent
2812,6185,Eve,25.0,Male,user1127@gmail.com,Invalid,30000.0,8,2022-09-13,Gold,Average
2816,8823,Alice,18.0,Female,user2982@gmail.com,+234809145611,1000000.0,17,2022-09-17,Gold,Average
2820,3555,Alice,25.0,Female,user1519@gmail.com,Invalid,404993.47896967723,5,2022-09-21,Silver,Average
2824,5727,Eve,18.0,Female,user636@gmail.com,+234806821670,1000000.0,12,2022-09-25,VIP,Good
2827,4701,Hannah,30.0,Male,user2492@gmail.com,+234801390120,70000.0,15,2022-09-28,VIP,Bad
2832,6789,David,25.0,Male,user395@gmail.com,Invalid,404993.47896967723,4,2022-10-03,Gold,Average
2837,8480,Bob,35.0,Male,user2110@gmail.com,+234804311386,70000.0,4,2022-10-08,VIP,Poor
2847,1159,Eve,60.0,Male,user3872@gmail.com,+234802658845,50000.0,6,2022-10-18,VIP,Excellent
2850,7846,Hannah,30.0,Female,user2001@gmail.com,+234806088829,30000.0,11,2022-10-21,Silver,Poor
2859,8927,Alice,18.0,Female,user3469@gmail.com,Invalid,100000.0,16,2022-10-30,Silver,Average
2863,8161,Alice,30.0,Female,user433@gmail.com,+234808867465,150000.0,8,2022-11-03,Silver,Excellent
2864,2884,Grace,30.0,Male,user4933@gmail.com,+234803614441,70000.0,10,2022-11-04,Gold,Poor
2870,7468,Hannah,35.0,Female,user1443@gmail.com,+234806055789,50000.0,0,2022-11-10,Gold,Good
2882,3224,Alice,30.0,Male,user787@gmail.com,+234804667480,100000.0,8,2022-11-22,VIP,Poor
2886,7361,Grace,18.0,Male,user3870@gmail.com,+234803852223,150000.0,18,2022-11-26,Silver,Good
2888,8094,Frank,60.0,Male,user1696@gmail.com,+234804113384,50000.0,12,2022-11-28,Gold,Bad
2889,7318,David,30.0,Female,user3457@gmail.com,+234808084853,70000.0,16,2022-11-29,VIP,Poor
2896,5888,David,25.0,Female,user1527@gmail.com,+234803960034,30000.0,8,2022-12-06,Gold,Good
2900,2316,Frank,60.0,Female,user4902@gmail.com,+234802898052,404993.47896967723,8,2022-12-10,Silver,Bad
2902,6621,Alice,30.0,Male,user2901@gmail.com,+234804607918,50000.0,12,2022-12-12,VIP,Poor
2904,3587,Grace,30.0,Male,user652@gmail.com,+234804041539,100000.0,1,2022-12-14,VIP,Excellent
2908,2519,Hannah,25.0,Female,user2120@gmail.com,+234803602458,1000000.0,5,2022-12-18,Bronze,Average
2909,6777,Charlie,30.0,Female,user2682@gmail.com,+234802955348,70000.0,4,2022-12-19,Gold,Excellent
2910,8935,Grace,25.0,Male,user4711@gmail.com,Invalid,100000.0,11,2022-12-20,Platinum,Poor
2916,5072,Alice,25.0,Female,user2981@gmail.com,+234805918945,30000.0,11,2022-12-26,VIP,Excellent
2917,3257,Alice,50.0,Male,user4830@gmail.com,Invalid,150000.0,14,2022-12-27,Gold,Bad
2918,9588,David,22.0,Male,user2856@gmail.com,+234803342474,30000.0,6,2022-12-28,Gold,Average
2921,4893,Grace,35.0,Female,user3060@gmail.com,+234804176924,1000000.0,17,2022-12-31,Silver,Bad
2930,8170,Charlie,18.0,Female,user1959@gmail.com,+234806646210,50000.0,11,2023-01-09,Platinum,Excellent
2931,7469,Frank,30.0,Male,user3799@gmail.com,Invalid,30000.0,3,2023-01-10,Gold,Bad
2933,1539,Hannah,30.0,Female,user3058@gmail.com,+234805427830,100000.0,3,2023-01-12,Silver,Average
2935,6184,Eve,25.0,Male,user2807@gmail.com,+234803831486,50000.0,17,2023-01-14,Silver,Excellent
2937,1234,Frank,35.0,Female,user3464@gmail.com,Invalid,100000.0,12,2023-01-16,Bronze,Average
2943,8982,Hannah,25.0,Female,user4227@gmail.com,+234802481099,1000000.0,5,2023-01-22,Gold,Average
2953,9088,Alice,50.0,Female,user3387@gmail.com,+234804819608,150000.0,19,2023-02-01,Bronze,Bad
2954,9578,David,60.0,Male,user4989@gmail.com,+234809243945,404993.47896967723,4,2023-02-02,Gold,Average
2957,3064,Bob,40.0,Female,user915@gmail.com,+234809064587,404993.47896967723,2,2023-02-05,VIP,Average
2963,4259,David,60.0,Female,user3287@gmail.com,Invalid,30000.0,3,2023-02-11,Bronze,Good
2968,7091,David,50.0,Female,user23@gmail.com,Invalid,404993.47896967723,15,2023-02-16,VIP,Good
2969,4866,Charlie,35.0,Female,user2978@gmail.com,+234806986048,1000000.0,5,2023-02-17,Platinum,Poor
2971,3222,Charlie,22.0,Female,user1348@gmail.com,+234808050147,150000.0,2,2023-02-19,Gold,Good
2975,9224,Frank,40.0,Female,user2648@gmail.com,+234809100713,50000.0,5,2023-02-23,VIP,Poor
2982,1719,David,50.0,Female,user2432@gmail.com,+234804915303,1000000.0,15,2023-03-02,Bronze,Poor
2983,7516,Bob,60.0,Male,user28@gmail.com,+234806660373,150000.0,17,2023-03-03,Platinum,Good
2989,5552,Bob,50.0,Female,user841@gmail.com,+234806766332,150000.0,6,2023-03-09,Silver,Bad
2990,3207,Alice,30.0,Male,user3593@gmail.com,+234805023011,150000.0,0,2023-03-10,VIP,Average
2991,5426,Frank,40.0,Male,user1508@gmail.com,+234808592658,1000000.0,2,2023-03-11,Gold,Bad
2994,9386,Bob,50.0,Female,user3451@gmail.com,+234808285077,404993.47896967723,5,2023-03-14,Silver,Bad
2995,9680,Grace,22.0,Female,user4714@gmail.com,+234802615299,70000.0,5,2023-03-15,Gold,Bad
2997,6345,Bob,50.0,Male,user4007@gmail.com,+234801373147,100000.0,18,2023-03-17,Platinum,Bad
3004,9584,Frank,25.0,Male,user1574@gmail.com,+234802800256,30000.0,15,2023-03-24,Bronze,Good
3007,1277,Eve,30.0,Female,user98@gmail.com,+234802323847,70000.0,7,2023-03-27,Silver,Good
3010,8659,Charlie,60.0,Male,user744@gmail.com,+234809611958,30000.0,0,2023-03-30,Silver,Bad
3011,1025,Charlie,35.0,Female,user2914@gmail.com,+234804885484,70000.0,15,2023-03-31,Platinum,Average
3014,9652,Eve,35.0,Female,user2712@gmail.com,+234808308828,50000.0,6,2023-04-03,Silver,Poor
3021,9682,David,25.0,Male,user3712@gmail.com,+234802656455,100000.0,5,2023-04-10,VIP,Good
3026,3606,Charlie,60.0,Female,user4645@gmail.com,+234801695268,150000.0,2,2023-04-15,Bronze,Bad
3028,5781,Frank,50.0,Female,user4923@gmail.com,+234808880914,70000.0,17,2023-04-17,Bronze,Average
3029,4313,Grace,30.0,Female,user3084@gmail.com,+234806158280,404993.47896967723,15,2023-04-18,Platinum,Bad
3030,8763,Bob,30.0,Male,user1608@gmail.com,+234804065153,150000.0,10,2023-04-19,Gold,Poor
3033,6685,Hannah,30.0,Male,user3389@gmail.com,Invalid,150000.0,2,2023-04-22,Silver,Good
3036,3783,Grace,60.0,Male,user1917@gmail.com,+234802880903,1000000.0,11,2023-04-25,Silver,Poor
3039,7420,Hannah,35.0,Male,user2067@gmail.com,+234808788560,70000.0,10,2023-04-28,Platinum,Poor
3048,2116,Grace,18.0,Female,user811@gmail.com,+234802185944,404993.47896967723,13,2023-05-07,Platinum,Poor
3049,1492,Hannah,40.0,Male,user4530@gmail.com,Invalid,404993.47896967723,16,2023-05-08,Bronze,Poor
3051,8888,Eve,35.0,Female,user1711@gmail.com,+234802983008,1000000.0,19,2023-05-10,Bronze,Average
3061,7102,Charlie,30.0,Female,user1294@gmail.com,+234808758853,1000000.0,9,2023-05-20,VIP,Good
3062,1619,Grace,60.0,Male,user717@gmail.com,+234805922068,30000.0,2,2023-05-21,VIP,Good
3064,9988,David,50.0,Male,user4443@gmail.com,+234806128070,30000.0,15,2023-05-23,Platinum,Poor
3066,2296,Charlie,25.0,Male,user4488@gmail.com,+234801674450,150000.0,3,2023-05-25,Gold,Poor
3068,3895,Bob,35.0,Male,user4571@gmail.com,Invalid,1000000.0,8,2023-05-27,Gold,Bad
3081,6973,Charlie,60.0,Male,user4199@gmail.com,+234809346118,150000.0,9,2023-06-09,Bronze,Poor
3087,2636,Bob,35.0,Male,user4036@gmail.com,+234804956313,30000.0,0,2023-06-15,VIP,Excellent
3091,4326,Grace,50.0,Male,user1174@gmail.com,+234806593323,1000000.0,9,2023-06-19,Platinum,Average
3095,3369,Eve,30.0,Female,user4405@gmail.com,+234807530090,100000.0,8,2023-06-23,VIP,Poor
3099,8618,David,30.0,Female,user4457@gmail.com,+234808556095,1000000.0,16,2023-06-27,VIP,Excellent
3100,4947,Grace,40.0,Female,user2595@gmail.com,+234806052460,30000.0,10,2023-06-28,Bronze,Poor
3102,2196,Hannah,30.0,Male,user3033@gmail.com,+234804486703,70000.0,4,2023-06-30,Silver,Poor
3103,3787,Bob,60.0,Male,user2266@gmail.com,+234808609589,150000.0,16,2023-07-01,Bronze,Excellent
3111,9792,Eve,30.0,Male,user4384@gmail.com,+234804152083,30000.0,17,2023-07-09,Gold,Good
3113,4824,Bob,18.0,Male,user4773@gmail.com,+234802894573,404993.47896967723,14,2023-07-11,Gold,Average
3115,1628,Eve,60.0,Male,user4163@gmail.com,+234805868741,30000.0,17,2023-07-13,Platinum,Excellent
3117,4696,Alice,30.0,Male,user4975@gmail.com,+234804434078,70000.0,7,2023-07-15,VIP,Poor
3118,4674,Grace,18.0,Female,user2463@gmail.com,+234801688433,150000.0,0,2023-07-16,VIP,Bad
3119,4929,Hannah,50.0,Male,user1852@gmail.com,+234801912345,70000.0,7,2023-07-17,Bronze,Excellent
3120,3765,Bob,50.0,Male,user2920@gmail.com,+234804331083,100000.0,9,2023-07-18,Gold,Good
3122,9307,Frank,22.0,Male,user2624@gmail.com,+234806491566,100000.0,5,2023-07-20,Bronze,Excellent
3126,2105,Grace,60.0,Female,user1220@gmail.com,+234805139440,100000.0,4,2023-07-24,Platinum,Good
3128,3161,Alice,30.0,Female,user4589@gmail.com,+234807262280,100000.0,2,2023-07-26,Gold,Average
3130,4699,Hannah,30.0,Female,user4504@gmail.com,+234801119084,150000.0,10,2023-07-28,VIP,Bad
3133,2913,David,30.0,Male,user2483@gmail.com,+234802066076,100000.0,2,2023-07-31,Gold,Excellent
3138,3871,David,60.0,Female,user1387@gmail.com,+234809501304,30000.0,19,2023-08-05,Bronze,Excellent
3139,1660,Charlie,30.0,Female,user764@gmail.com,+234805310749,70000.0,18,2023-08-06,VIP,Poor
3141,2132,David,30.0,Male,user573@gmail.com,+234806409077,70000.0,10,2023-08-08,VIP,Good
3144,7297,Hannah,25.0,Male,user4535@gmail.com,+234801169313,1000000.0,9,2023-08-11,Platinum,Excellent
3145,8812,Grace,30.0,Male,user3593@gmail.com,+234809048527,404993.47896967723,11,2023-08-12,VIP,Average
3147,3179,Alice,35.0,Female,user3639@gmail.com,+234809874353,404993.47896967723,17,2023-08-14,Platinum,Bad
3149,2422,Charlie,30.0,Male,user3688@gmail.com,+234801123404,100000.0,6,2023-08-16,Gold,Average
3155,1270,Alice,50.0,Female,user4605@gmail.com,+234803038910,50000.0,2,2023-08-22,Gold,Average
3158,4075,Bob,30.0,Female,user3100@gmail.com,+234807318065,70000.0,2,2023-08-25,VIP,Good
3159,1289,Frank,30.0,Female,user3763@gmail.com,+234802398062,30000.0,5,2023-08-26,VIP,Bad
3162,4252,Eve,40.0,Male,user4778@gmail.com,+234804301545,404993.47896967723,11,2023-08-29,Gold,Average
3171,5776,Bob,40.0,Female,user3903@gmail.com,+234806898424,70000.0,11,2023-09-07,VIP,Excellent
3173,4832,Frank,40.0,Male,user1807@gmail.com,+234805936258,1000000.0,19,2023-09-09,Platinum,Average
3182,6810,Grace,35.0,Male,user2200@gmail.com,+234801890341,50000.0,15,2023-09-18,Platinum,Average
3189,2849,Bob,40.0,Female,user2152@gmail.com,+234807878847,150000.0,12,2023-09-25,Silver,Bad
3191,3749,Alice,22.0,Male,user2323@gmail.com,+234801174549,404993.47896967723,6,2023-09-27,VIP,Poor
3192,7680,Alice,22.0,Male,user978@gmail.com,+234805878936,30000.0,8,2023-09-28,Bronze,Poor
3193,1205,Grace,50.0,Male,user2892@gmail.com,+234801840235,150000.0,3,2023-09-29,VIP,Bad
3195,5591,Hannah,30.0,Female,user3932@gmail.com,+234809291204,30000.0,7,2023-10-01,VIP,Average
3207,4722,Grace,22.0,Female,user57@gmail.com,+234801656927,100000.0,1,2023-10-13,Silver,Good
3208,4551,Grace,25.0,Female,user2084@gmail.com,+234801220209,404993.47896967723,1,2023-10-14,Gold,Excellent
3212,1152,Bob,30.0,Female,user793@gmail.com,+234802082369,404993.47896967723,11,2023-10-18,Bronze,Poor
3221,8263,David,60.0,Male,user3317@gmail.com,+234808044166,100000.0,3,2023-10-27,VIP,Poor
3244,3230,Alice,18.0,Male,user4779@gmail.com,+234806249037,404993.47896967723,17,2023-11-19,VIP,Poor
3245,5287,David,60.0,Male,user4795@gmail.com,+234808740150,1000000.0,19,2023-11-20,Platinum,Average
3254,5946,Bob,35.0,Male,user1081@gmail.com,+234806051128,50000.0,15,2023-11-29,Gold,Average
3255,9234,Alice,30.0,Female,user3210@gmail.com,+234803358968,150000.0,2,2023-11-30,Bronze,Average
3262,5796,David,18.0,Female,user1427@gmail.com,+234803394723,70000.0,10,2023-12-07,Platinum,Average
3270,6287,Alice,25.0,Male,user4964@gmail.com,+234807041003,70000.0,13,2023-12-15,Gold,Poor
3275,1999,Eve,18.0,Male,user4722@gmail.com,+234806668937,404993.47896967723,2,2023-12-20,Bronze,Average
3280,4663,David,35.0,Female,user958@gmail.com,+234809010043,70000.0,11,2023-12-25,Gold,Bad
3285,8262,Alice,30.0,Male,user2676@gmail.com,+234801228054,50000.0,17,2023-12-30,Bronze,Good
3288,1882,Bob,25.0,Female,user1007@gmail.com,+234805626631,50000.0,11,2024-01-02,Platinum,Excellent
3290,5068,Bob,22.0,Male,user2798@gmail.com,+234803768755,50000.0,9,2024-01-04,Gold,Poor
3292,9566,David,30.0,Female,user2951@gmail.com,+234804150195,150000.0,18,2024-01-06,Gold,Poor
3298,9160,Bob,60.0,Male,user2208@gmail.com,+234809083052,50000.0,8,2024-01-12,Bronze,Bad
3302,1139,Charlie,25.0,Female,user2983@gmail.com,+234802058386,30000.0,11,2024-01-16,Silver,Bad
3304,3949,Eve,30.0,Male,user3781@gmail.com,+234808249912,1000000.0,2,2024-01-18,Bronze,Excellent
3305,4168,Alice,18.0,Male,user1121@gmail.com,+234804061094,30000.0,13,2024-01-19,Gold,Excellent
